iteration,ants,execution_time,total_time,total_cost,avg_rating,path
170,170,14.32475996017456,29.839999999999996,1227.3,4.036363636363636,Howrah Bridge(Kolkata) -> Howrah Junction Railway Station(Kolkata) -> Cuttack Junction Railway Station(Cuttack) -> Bhubaneswar Railway Station(Bhubaneswar) -> ISKCON Temple(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar) -> Ram mandir(Bhubaneswar)
175,175,14.047184705734253,29.839999999999996,1227.3,4.036363636363636,Howrah Bridge(Kolkata) -> Howrah Junction Railway Station(Kolkata) -> Cuttack Junction Railway Station(Cuttack) -> Bhubaneswar Railway Station(Bhubaneswar) -> ISKCON Temple(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar) -> Ram mandir(Bhubaneswar)
180,180,15.64734935760498,29.9,1237.3,4.036363636363636,Howrah Bridge(Kolkata) -> Howrah Junction Railway Station(Kolkata) -> Cuttack Junction Railway Station(Cuttack) -> Bhubaneswar Railway Station(Bhubaneswar) -> ISKCON Temple(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Ram mandir(Bhubaneswar) -> Odisha State Museum(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar)
185,185,15.888282060623169,29.839999999999996,1227.3,4.036363636363636,Howrah Bridge(Kolkata) -> Howrah Junction Railway Station(Kolkata) -> Cuttack Junction Railway Station(Cuttack) -> Bhubaneswar Railway Station(Bhubaneswar) -> ISKCON Temple(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar) -> Ram mandir(Bhubaneswar)
190,190,17.227930068969727,29.9,1237.3,4.036363636363636,Howrah Bridge(Kolkata) -> Howrah Junction Railway Station(Kolkata) -> Cuttack Junction Railway Station(Cuttack) -> Bhubaneswar Railway Station(Bhubaneswar) -> ISKCON Temple(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Ram mandir(Bhubaneswar) -> Odisha State Museum(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar)
195,195,19.534173727035522,29.839999999999996,1227.3,4.036363636363636,Howrah Bridge(Kolkata) -> Howrah Junction Railway Station(Kolkata) -> Cuttack Junction Railway Station(Cuttack) -> Bhubaneswar Railway Station(Bhubaneswar) -> ISKCON Temple(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar) -> Ram mandir(Bhubaneswar)
200,200,19.21420931816101,29.839999999999996,1227.3,4.036363636363636,Howrah Bridge(Kolkata) -> Howrah Junction Railway Station(Kolkata) -> Cuttack Junction Railway Station(Cuttack) -> Bhubaneswar Railway Station(Bhubaneswar) -> ISKCON Temple(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar) -> Ram mandir(Bhubaneswar)
205,205,20.45632767677307,29.9,1237.3,4.036363636363636,Howrah Bridge(Kolkata) -> Howrah Junction Railway Station(Kolkata) -> Cuttack Junction Railway Station(Cuttack) -> Bhubaneswar Railway Station(Bhubaneswar) -> ISKCON Temple(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Ram mandir(Bhubaneswar) -> Odisha State Museum(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar)
210,210,20.213552951812744,29.9,1237.3,4.036363636363636,Howrah Bridge(Kolkata) -> Howrah Junction Railway Station(Kolkata) -> Cuttack Junction Railway Station(Cuttack) -> Bhubaneswar Railway Station(Bhubaneswar) -> ISKCON Temple(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Ram mandir(Bhubaneswar) -> Odisha State Museum(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar)
215,215,21.447399854660034,29.839999999999996,1227.3,4.036363636363636,Howrah Bridge(Kolkata) -> Howrah Junction Railway Station(Kolkata) -> Cuttack Junction Railway Station(Cuttack) -> Bhubaneswar Railway Station(Bhubaneswar) -> ISKCON Temple(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar) -> Ram mandir(Bhubaneswar)
220,220,22.527000904083252,29.9,1237.3,4.036363636363636,Howrah Bridge(Kolkata) -> Howrah Junction Railway Station(Kolkata) -> Cuttack Junction Railway Station(Cuttack) -> Bhubaneswar Railway Station(Bhubaneswar) -> ISKCON Temple(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Ram mandir(Bhubaneswar) -> Odisha State Museum(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar)
225,225,24.70038914680481,29.839999999999996,1227.3,4.036363636363636,Howrah Bridge(Kolkata) -> Howrah Junction Railway Station(Kolkata) -> Cuttack Junction Railway Station(Cuttack) -> Bhubaneswar Railway Station(Bhubaneswar) -> ISKCON Temple(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar) -> Ram mandir(Bhubaneswar)
230,230,25.401787042617798,29.9,1237.3,4.036363636363636,Howrah Bridge(Kolkata) -> Howrah Junction Railway Station(Kolkata) -> Cuttack Junction Railway Station(Cuttack) -> Bhubaneswar Railway Station(Bhubaneswar) -> ISKCON Temple(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Ram mandir(Bhubaneswar) -> Odisha State Museum(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar)
235,235,27.46063494682312,29.839999999999996,1227.3,4.036363636363636,Howrah Bridge(Kolkata) -> Howrah Junction Railway Station(Kolkata) -> Cuttack Junction Railway Station(Cuttack) -> Bhubaneswar Railway Station(Bhubaneswar) -> ISKCON Temple(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar) -> Ram mandir(Bhubaneswar)
240,240,33.92537832260132,29.9,1237.3,4.036363636363636,Howrah Bridge(Kolkata) -> Howrah Junction Railway Station(Kolkata) -> Cuttack Junction Railway Station(Cuttack) -> Bhubaneswar Railway Station(Bhubaneswar) -> ISKCON Temple(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Ram mandir(Bhubaneswar) -> Odisha State Museum(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar)
245,245,38.00484776496887,29.839999999999996,1227.3,4.036363636363636,Howrah Bridge(Kolkata) -> Howrah Junction Railway Station(Kolkata) -> Cuttack Junction Railway Station(Cuttack) -> Bhubaneswar Railway Station(Bhubaneswar) -> ISKCON Temple(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar) -> Ram mandir(Bhubaneswar)
250,250,39.52767872810364,29.839999999999996,1227.3,4.036363636363636,Howrah Bridge(Kolkata) -> Howrah Junction Railway Station(Kolkata) -> Cuttack Junction Railway Station(Cuttack) -> Bhubaneswar Railway Station(Bhubaneswar) -> ISKCON Temple(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar) -> Ram mandir(Bhubaneswar)
255,255,39.999597787857056,29.839999999999996,1227.3,4.036363636363636,Howrah Bridge(Kolkata) -> Howrah Junction Railway Station(Kolkata) -> Cuttack Junction Railway Station(Cuttack) -> Bhubaneswar Railway Station(Bhubaneswar) -> ISKCON Temple(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar) -> Ram mandir(Bhubaneswar)
260,260,41.5742027759552,29.9,1237.3,4.036363636363636,Howrah Bridge(Kolkata) -> Howrah Junction Railway Station(Kolkata) -> Cuttack Junction Railway Station(Cuttack) -> Bhubaneswar Railway Station(Bhubaneswar) -> ISKCON Temple(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Ram mandir(Bhubaneswar) -> Odisha State Museum(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar)
265,265,41.46455359458923,29.839999999999996,1227.3,4.036363636363636,Howrah Bridge(Kolkata) -> Howrah Junction Railway Station(Kolkata) -> Cuttack Junction Railway Station(Cuttack) -> Bhubaneswar Railway Station(Bhubaneswar) -> ISKCON Temple(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar) -> Ram mandir(Bhubaneswar)
270,270,50.7139995098114,29.839999999999996,1227.3,4.036363636363636,Howrah Bridge(Kolkata) -> Howrah Junction Railway Station(Kolkata) -> Cuttack Junction Railway Station(Cuttack) -> Bhubaneswar Railway Station(Bhubaneswar) -> ISKCON Temple(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar) -> Ram mandir(Bhubaneswar)
275,275,62.38776755332947,29.9,1237.3,4.036363636363636,Howrah Bridge(Kolkata) -> Howrah Junction Railway Station(Kolkata) -> Cuttack Junction Railway Station(Cuttack) -> Bhubaneswar Railway Station(Bhubaneswar) -> ISKCON Temple(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Ram mandir(Bhubaneswar) -> Odisha State Museum(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar)
280,280,48.702966928482056,29.839999999999996,1227.3,4.036363636363636,Howrah Bridge(Kolkata) -> Howrah Junction Railway Station(Kolkata) -> Cuttack Junction Railway Station(Cuttack) -> Bhubaneswar Railway Station(Bhubaneswar) -> ISKCON Temple(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar) -> Ram mandir(Bhubaneswar)
